repeticao,tempo,distancia,id,peso
1,27.800000000000043,1504.5,pw_4009053830,0.09744160925220424
1,30.000000000000064,1453.0,pw_2256233155,0.12992551199611002
1,29.700000000000067,1478.0,pw_917330190,0.04924538535428047
1,29.700000000000063,1478.4000000000005,pw_3519753715,0.023655871848818233
1,27.300000000000058,1564.3999999999996,pw_343576015,0.13277020297532316
1,27.50000000000004,1547.8999999999999,pw_422791300,0.16938147886953636
1,26.800000000000058,1600.1000000000001,pw_4114543940,0.2592571528258556
2,26.600000000000048,1510.699999999999,pw_2370499670,0.21422341805361134
2,29.50000000000006,1451.6,pw_1964646950,0.04349227275680789
2,29.30000000000008,1480.9999999999995,pw_14445100,0.041534372506675354
2,27.200000000000053,1484.200000000001,pw_3421099280,0.03307169215399408
3,28.200000000000067,1500.4999999999995,pw_733459345,0.17938427177512128
3,31.200000000000045,1499.5999999999995,pw_3494684625,0.050425391242177264
3,29.000000000000053,1500.0999999999995,pw_1846089325,0.12839680760416594
3,27.800000000000047,1569.7000000000007,pw_1929909555,0.20074647003932033
3,27.90000000000005,1557.8,pw_934398025,0.25942640029852493
3,27.200000000000056,1687.3999999999994,pw_3697965950,0.36516745018255403
3,27.600000000000044,1601.3999999999992,pw_4002615780,0.2682653691769076
4,26.70000000000003,1550.4000000000005,pw_2670724850,0.3098954452559949
4,26.800000000000047,1505.999999999999,pw_3270801105,0.175103570504603
4,27.50000000000003,1440.6999999999998,pw_3049399490,0.14276887295725604
5,29.500000000000053,1482.3000000000004,pw_2455548550,0.18748102189588245
5,26.900000000000034,1668.3999999999992,pw_414955215,0.3330097135074318
5,29.200000000000053,1498.3000000000004,pw_3616227340,0.057424273040819096
5,29.500000000000075,1470.3999999999987,pw_869130810,0.07657885759949834
5,30.300000000000086,1460.9999999999998,pw_1089306830,0.03220761842798925
5,27.400000000000045,1505.9999999999989,pw_126108585,0.11486205187884291
5,29.500000000000043,1494.5999999999997,pw_2599843790,0.0797626151971157
5,26.70000000000005,1775.6999999999994,pw_628818625,0.5589839448118967
5,27.300000000000043,1516.5999999999995,pw_3634258720,0.23058529839297492
