repeticao,tempo,distancia,id,modo,epsilon
1,27.50000000000006,1725.5999999999995,pe_1927554880,tempo,1726.309365850005
1,28.60000000000005,1448.1999999999987,pe_4016814355,distancia,496.55355694794105
1,30.500000000000046,1437.5000000000007,pe_3998479150,distancia,244.60728980971172
2,28.70000000000005,1410.6000000000004,pe_3118919890,distancia,264.8470964364974
2,28.700000000000024,1469.5,pe_3982000075,distancia,249.06335162395277
3,28.700000000000056,1405.8000000000002,pe_566826950,distancia,386.29948820539636
3,27.900000000000052,1451.3999999999999,pe_589439845,tempo,912.4927801111164
4,29.20000000000006,1525.8,pe_4252820720,tempo,44.802453917733466
4,28.80000000000005,1802.9,pe_470784595,tempo,1806.524701246404
4,29.400000000000045,1453.299999999999,pe_1361042975,distancia,514.8625721412858
4,29.40000000000006,1441.6999999999996,pe_1245464915,distancia,115.39209971009505
4,29.30000000000006,1453.9000000000008,pe_692464485,distancia,556.7286735182745
5,28.40000000000005,1410.3999999999996,pe_3157881050,distancia,455.11292154625147
